Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
22817,HWH-MYS SF E,11,VSKP,VISAKHAPATNA,05:35:00,05:55:00,884,HWH,HOWRAH JN.,MYS,MYSORE JN.
22818,MYS - HWH SF,12,VSKP,VISAKHAPATNA,00:10:00,00:30:00,1224,MYS,MYSORE JN.,HWH,HOWRAH JN.
22819,BBS-VSKP SF,27,VSKP,VISAKHAPATNA,14:55:00,14:55:00,442,BBS,BHUBANESWAR,VSKP,VISAKHAPATNAM
22825,SHM - MAS S/,14,VSKP,VISAKHAPATNA,01:50:00,02:10:00,882,SHM,SHALIMAR,MAS,CHENNAI CENTRAL
22826,MAS - SHM EX,11,VSKP,VISAKHAPATNA,06:15:00,06:35:00,780,MAS,CHENNAI CENTRAL,SHM,SHALIMAR
22833,BBS-KJM WEEK,7,VSKP,VISAKHAPATNA,18:35:00,18:55:00,442,BBS,BHUBANESWAR,KJM,KRISHNA RAJA PURAM
22834,KJM-BBS WEEK,13,VSKP,VISAKHAPATNA,11:00:00,11:20:00,1071,KJM,KRISHNA RAJA PURAM,BBS,BHUBANESWAR
22837,HTE ERS DHAR,13,VSKP,VISAKHAPATNA,09:35:00,09:55:00,816,HTE,HATIA,ERS,ERNAKULAM. JN
22838,ERS HTE DHAR,15,VSKP,VISAKHAPATNA,00:45:00,01:05:00,1423,ERS,ERNAKULAM. JN,HTE,HATIA
22847,VSKP-LTT S/F,1,VSKP,VISAKHAPATNA,09:00:00,09:00:00,0,VSKP,VISAKHAPATNAM,LTT,LOKMANYA TILAK TERMINUS
22848,LTT-VSKP S/F,24,VSKP,VISAKHAPATNA,05:20:00,05:20:00,1655,LTT,LOKMANYA TILAK TERMINUS,VSKP,VISAKHAPATNAM
22849,SHM - SC S/F,14,VSKP,VISAKHAPATNA,01:50:00,02:10:00,882,SHM,SHALIMAR,SC,SECUNDERABAD JN.
22850,SC-SHM SF EX,7,VSKP,VISAKHAPATNA,17:30:00,17:50:00,708,SC,SECUNDERABAD JN.,SHM,SHALIMAR
22851,SRC - MAQ SF,14,VSKP,VISAKHAPATNA,04:30:00,04:50:00,877,SRC,SANTRAGACHI JN.,MAQ,MANGALORE CENTRAL
22852,MAQ - SRC SF,27,VSKP,VISAKHAPATNA,04:10:00,04:30:00,1609,MAQ,MANGALORE CENTRAL,SRC,SANTRAGACHI JN.
22853,SHM - VSKP W,16,VSKP,VISAKHAPATNA,08:20:00,08:20:00,882,SHM,SHALIMAR,VSKP,VISAKHAPATNAM
22854,VSKP-SHM WEK,1,VSKP,VISAKHAPATNA,17:50:00,17:50:00,0,VSKP,VISAKHAPATNAM,SHM,SHALIMAR
22855,SRC - TPTY W,11,VSKP,VISAKHAPATNA,04:30:00,04:50:00,877,SRC,SANTRAGACHI JN.,TPTY,TIRUPATI
22856,TPTY-SRC,8,VSKP,VISAKHAPATNA,08:30:00,08:50:00,735,TPTY,TIRUPATI,SRC,SANTRAGACHI JN.
22859,PURI-MAS S/F,10,VSKP,VISAKHAPATNA,01:10:00,01:30:00,467,PURI,PURI,MAS,CHENNAI CENTRAL
22860,MAS-PURI S/F,12,VSKP,VISAKHAPATNA,06:15:00,06:35:00,780,MAS,CHENNAI CENTRAL,PURI,PURI
22869,VSKP-MAS S/F,1,VSKP,VISAKHAPATNA,19:05:00,19:05:00,0,VSKP,VISAKHAPATNAM,MAS,CHENNAI CENTRAL
22870,MAS-VSKP S/F,13,VSKP,VISAKHAPATNA,10:25:00,10:25:00,780,MAS,CHENNAI CENTRAL,VSKP,VISAKHAPATNAM
22871,BBS-TPTY S/F,11,VSKP,VISAKHAPATNA,18:45:00,19:05:00,442,BBS,BHUBANESWAR,TPTY,TIRUPATI
22872,TPTY-BBS S/F,9,VSKP,VISAKHAPATNA,02:00:00,02:20:00,735,TPTY,TIRUPATI,BBS,BHUBANESWAR
22873,DGHA-VSKP S/,17,VSKP,VISAKHAPATNA,08:20:00,08:20:00,930,DGHA,DIGHA FS,VSKP,VISAKHAPATNAM
22874,VSKP-DGHA S/,1,VSKP,VISAKHAPATNA,17:50:00,17:50:00,0,VSKP,VISAKHAPATNAM,DGHA,DIGHA FS
22879,BBS-TPTY S/F,11,VSKP,VISAKHAPATNA,18:45:00,19:05:00,442,BBS,BHUBANESWAR,TPTY,TIRUPATI
22880,TPTY-BBS S/F,11,VSKP,VISAKHAPATNA,02:00:00,02:20:00,735,TPTY,TIRUPATI,BBS,BHUBANESWAR
22881,PUNE-BBS S/F,10,VSKP,VISAKHAPATNA,10:25:00,10:45:00,1263,PUNE,PUNE JN.,BBS,BHUBANESWAR
22882,BBS-PUNE S/F,5,VSKP,VISAKHAPATNA,04:30:00,04:50:00,442,BBS,BHUBANESWAR,PUNE,PUNE JN.
22883,PURI-YPR GAR,9,VSKP,VISAKHAPATNA,22:30:00,22:50:00,467,PURI,PURI,YPR,YESVANTPUR JN.
22884,YPR-PURI GAR,20,VSKP,VISAKHAPATNA,22:05:00,22:25:00,1037,YPR,YESVANTPUR JN.,PURI,PURI
22887,HWH-YPR-HWH,12,VSKP,VISAKHAPATNA,02:10:00,02:30:00,884,HWH,HOWRAH JN.,YPR,YESVANTPUR JN.
22888,YPR-HWH HUMS,9,VSKP,VISAKHAPATNA,05:10:00,05:30:00,1089,YPR,YESVANTPUR JN.,HWH,HOWRAH JN.
57225,BZA-VSKP-PAS,58,VSKP,VISAKHAPATNA,19:00:00,19:00:00,350,BZA,VIJAYWADA JN.,VSKP,VISAKHAPATNAM
