Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
13034,KIR-HWH EXP,45,HWH,HOWRAH JN.,04:15:00,04:15:00,419,KIR,KATIHAR JN.,HWH,HOWRAH JN.
13043,HWH RXL EXPR,1,HWH,HOWRAH JN.,22:50:00,22:50:00,0,HWH,HOWRAH JN.,RXL,RAXAUL JN.
13044,RXL HWH EXPR,19,HWH,HOWRAH JN.,12:15:00,12:15:00,698,RXL,RAXAUL JN.,HWH,HOWRAH JN.
13049,AMRITSAR EXP,1,HWH,HOWRAH JN.,13:50:00,13:50:00,0,HWH,HOWRAH JN.,ASR,AMRITSAR JN.
13050,ASR HWH EXPR,106,HWH,HOWRAH JN.,15:45:00,15:45:00,1909,ASR,AMRITSAR JN.,HWH,HOWRAH JN.
13053,HWH SURI EXP,1,HWH,HOWRAH JN.,00:00:00,08:35:00,0,HWH,HOWRAH JN.,SURI,SIURI
13054,SURI HWH EXP,6,HWH,HOWRAH JN.,22:40:00,22:40:00,210,SURI,SIURI,HWH,HOWRAH JN.
13063,HWH BLGT EXP,1,HWH,HOWRAH JN.,07:55:00,07:55:00,0,HWH,HOWRAH JN.,BLGT,BALURGHAT
13064,BLGT HWH EXP,12,HWH,HOWRAH JN.,06:15:00,06:15:00,424,BLGT,BALURGHAT,HWH,HOWRAH JN.
13071,HWH JMP EXPR,1,HWH,HOWRAH JN.,00:00:00,21:35:00,0,HWH,HOWRAH JN.,JMP,JAMALPUR JN.
13072,JMP HWH EXP,21,HWH,HOWRAH JN.,05:30:00,05:30:00,472,JMP,JAMALPUR JN.,HWH,HOWRAH JN.
13465,MLDT INTERCI,1,HWH,HOWRAH JN.,15:15:00,15:15:00,0,HWH,HOWRAH JN.,MLDT,MALDA TOWN
13466,MLDT INTERCI,15,HWH,HOWRAH JN.,12:50:00,12:50:00,329,MLDT,MALDA TOWN,HWH,HOWRAH JN.
15227,YPR-MFP EXP,24,HWH,HOWRAH JN.,13:55:00,14:25:00,2028,YPR,YESVANTPUR JN.,MFP,MUZAFFARPUR JN.
15228,MUZAFFARPUR-,13,HWH,HOWRAH JN.,22:55:00,23:15:00,701,MFP,MUZAFFARPUR JN.,YPR,YESVANTPUR JN.
15235,HWH-DBG EXPR,1,HWH,HOWRAH JN.,11:05:00,11:05:00,0,HWH,HOWRAH JN.,DBG,DARBHANGA JN.
15236,DBG-HWH EXPR,11,HWH,HOWRAH JN.,03:00:00,03:00:00,536,DBG,DARBHANGA JN.,HWH,HOWRAH JN.
15271,MFP-HWH JANS,1,HWH,HOWRAH JN.,11:05:00,11:05:00,0,HWH,HOWRAH JN.,MFP,MUZAFFARPUR JN.
15272,HWH-MFP JANS,12,HWH,HOWRAH JN.,03:00:00,03:00:00,550,MFP,MUZAFFARPUR JN.,HWH,HOWRAH JN.
15643,PURI-KYQ EXP,8,HWH,HOWRAH JN.,07:05:00,07:30:00,503,PURI,PURI,KYQ,KAMAKHYA JN
15644,KYQ-PURI  EX,19,HWH,HOWRAH JN.,22:30:00,23:15:00,1043,KYQ,KAMAKHYA JN,PURI,PURI
15711,HWH-KIR EXPR,1,HWH,HOWRAH JN.,21:55:00,21:55:00,0,HWH,HOWRAH JN.,KIR,KATIHAR JN.
15712,KIR-HWH EXPR,11,HWH,HOWRAH JN.,07:20:00,07:20:00,419,KIR,KATIHAR JN.,HWH,HOWRAH JN.
15721,PAHARIA EXPR,8,HWH,HOWRAH JN.,21:05:00,21:55:00,186,DGHA,DIGHA FS,NJP,NEW JALPAIGURI JN
15722,PAHARIA EXPR,11,HWH,HOWRAH JN.,07:20:00,07:50:00,588,NJP,NEW JALPAIGURI JN,DGHA,DIGHA FS
15959,KAMRUP EXPRE,1,HWH,HOWRAH JN.,17:35:00,17:35:00,0,HWH,HOWRAH JN.,DBRG,DIBRUGARH
15960,KAMRUP EXPRE,56,HWH,HOWRAH JN.,05:45:00,05:45:00,1528,DBRG,DIBRUGARH,HWH,HOWRAH JN.
18005,HWH-JDB EXPR,1,HWH,HOWRAH JN.,21:30:00,21:30:00,0,HWH,HOWRAH JN.,JDB,JAGADALPUR
18006,JDB-KRPU-HWH,46,HWH,HOWRAH JN.,06:15:00,06:15:00,1164,JDB,JAGADALPUR,HWH,HOWRAH JN.
18047,HWH-VSGAMARA,1,HWH,HOWRAH JN.,23:30:00,23:30:00,0,HWH,HOWRAH JN.,VSG,VASCO-DA-GAMA
18048,VSG HWH AMAR,45,HWH,HOWRAH JN.,22:40:00,00:00:00,2125,VSG,VASCO-DA-GAMA,HWH,HOWRAH JN.
18409,SRIJAGANNATH,1,HWH,HOWRAH JN.,19:00:00,19:00:00,0,HWH,HOWRAH JN.,PURI,PURI
18410,SRIJAGANNATH,21,HWH,HOWRAH JN.,08:10:00,08:10:00,503,PURI,PURI,HWH,HOWRAH JN.
18615,HWH-HTE KRII,1,HWH,HOWRAH JN.,22:10:00,22:10:00,0,HWH,HOWRAH JN.,HTE,HATIA
18616,HTE-HWH KRIY,17,HWH,HOWRAH JN.,06:35:00,06:35:00,426,HTE,HATIA,HWH,HOWRAH JN.
18645,HWH HYB EAST,1,HWH,HOWRAH JN.,11:45:00,11:45:00,0,HWH,HOWRAH JN.,HYB,HYDERABAD DECCAN
18646,HYB-HWH EAST,61,HWH,HOWRAH JN.,16:10:00,16:10:00,1602,HYB,HYDERABAD DECCAN,HWH,HOWRAH JN.
20889,HWH BZA HUMS,1,HWH,HOWRAH JN.,12:40:00,12:40:00,0,HWH,HOWRAH JN.,BZA,VIJAYWADA JN.
20890,BZA HWH HUMS,8,HWH,HOWRAH JN.,18:30:00,18:30:00,1233,BZA,VIJAYWADA JN.,HWH,HOWRAH JN.
22309,HWH NJP AC E,1,HWH,HOWRAH JN.,23:05:00,23:05:00,0,HWH,HOWRAH JN.,NJP,NEW JALPAIGURI JN
22310,NJP HWH AC,8,HWH,HOWRAH JN.,22:50:00,22:50:00,560,NJP,NEW JALPAIGURI JN,HWH,HOWRAH JN.
22321,HOOL EXP,1,HWH,HOWRAH JN.,06:45:00,06:45:00,0,HWH,HOWRAH JN.,SURI,SIURI
22322,HOOL EXP,10,HWH,HOWRAH JN.,18:00:00,18:00:00,240,SURI,SIURI,HWH,HOWRAH JN.
22387,BLACKDIMOND,1,HWH,HOWRAH JN.,06:15:00,06:15:00,0,HWH,HOWRAH JN.,DHN,DHANBAD JN.
22388,BLACKDIAMOND,16,HWH,HOWRAH JN.,21:20:00,21:20:00,270,DHN,DHANBAD JN.,HWH,HOWRAH JN.
22501,SBC - NTSK S,21,HWH,HOWRAH JN.,13:55:00,14:25:00,2019,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),NTSK,NEW TINSUKIA JN
22502,NTSK - SBC S,21,HWH,HOWRAH JN.,00:45:00,01:05:00,1597,NTSK,NEW TINSUKIA JN,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
