Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
20890,BZA HWH HUMS,5,BBS,BHUBANESWAR,11:45:00,11:55:00,792,BZA,VIJAYWADA JN.,HWH,HOWRAH JN.
22501,SBC - NTSK S,17,BBS,BHUBANESWAR,06:05:00,06:10:00,1578,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),NTSK,NEW TINSUKIA JN
22502,NTSK - SBC S,25,BBS,BHUBANESWAR,07:35:00,07:40:00,2039,NTSK,NEW TINSUKIA JN,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
22603,KGP VM BI-WK,6,BBS,BHUBANESWAR,18:45:00,18:50:00,325,KGP,KHARAGPUR,VM,VILLUPURAM JN.
22604,VM-KGP BI-WK,15,BBS,BHUBANESWAR,13:55:00,14:00:00,1456,VM,VILLUPURAM JN.,KGP,KHARAGPUR
22605,PRR-VM WKLY,11,BBS,BHUBANESWAR,18:45:00,18:50:00,530,PRR,PURULIA JN.,VM,VILLUPURAM JN.
22606,VM-PRR WKLY,20,BBS,BHUBANESWAR,13:55:00,14:00:00,1456,VM,VILLUPURAM JN.,PRR,PURULIA JN.
22611,MAS NJP EXPR,12,BBS,BHUBANESWAR,07:20:00,07:25:00,1222,MAS,CHENNAI CENTRAL,NJP,NEW JALPAIGURI JN
22612,NJP MAS EXPR,11,BBS,BHUBANESWAR,17:20:00,17:25:00,1073,NJP,NEW JALPAIGURI JN,MAS,CHENNAI CENTRAL
22613,MAS-HLZ WEEK,9,BBS,BHUBANESWAR,11:25:00,11:30:00,1222,MAS,CHENNAI CENTRAL,HLZ,HALDIA
22614,HLZ-MAS WEEK,7,BBS,BHUBANESWAR,18:45:00,18:50:00,439,HLZ,HALDIA,MAS,CHENNAI CENTRAL
22641,SHALIMAR EXP,29,BBS,BHUBANESWAR,06:05:00,06:10:00,2126,TVC,TRIVANDRUM CENTRAL,SHM,SHALIMAR
22642,SHM TVC SF E,9,BBS,BHUBANESWAR,06:40:00,06:45:00,439,SHM,SHALIMAR,TVC,TRIVANDRUM CENTRAL
22643,PATNA EXPRES,22,BBS,BHUBANESWAR,02:25:00,02:30:00,1921,ERS,ERNAKULAM. JN,PNBE,PATNA JN.
